Domain Code,Domain,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"OA","Annual population","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","57980.03","A","Aggregate, may include official, semi-official, estimated or calculated data"
"OA","Annual population","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","268786.71","A","Aggregate, may include official, semi-official, estimated or calculated data"
